,Dataset,Target var,Target,Domain,Accuracy type,Type,Number of features
nec_HCP-YA_loneliness_r,HCP-YA,loneliness,Loneliness,Mental health,r,necessary,5
best_top1_HCP-YA_neoffi_n_r,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,r,best,1
best_top2_HCP-YA_neoffi_n_r,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,r,best,16
best_top3_HCP-YA_neoffi_n_r,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,r,best,15
nec_HCP-YA_neoffi_n_r,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,r,necessary,1
best_top1_HCP-YA_neoffi_e_r,HCP-YA,neoffi_e,Extraversion (NEO),Personality,r,best,1
best_top2_HCP-YA_neoffi_e_r,HCP-YA,neoffi_e,Extraversion (NEO),Personality,r,best,28
best_top3_HCP-YA_neoffi_e_r,HCP-YA,neoffi_e,Extraversion (NEO),Personality,r,best,31
nec_HCP-YA_neoffi_e_r,HCP-YA,neoffi_e,Extraversion (NEO),Personality,r,necessary,1
best_top1_HCP-YA_neoffi_o_r,HCP-YA,neoffi_o,Openness (NEO),Personality,r,best,24
best_top2_HCP-YA_neoffi_o_r,HCP-YA,neoffi_o,Openness (NEO),Personality,r,best,25
best_top3_HCP-YA_neoffi_o_r,HCP-YA,neoffi_o,Openness (NEO),Personality,r,best,17
nec_HCP-YA_neoffi_o_r,HCP-YA,neoffi_o,Openness (NEO),Personality,r,necessary,4
best_top1_HCP-YA_neoffi_a_r,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,r,best,23
best_top2_HCP-YA_neoffi_a_r,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,r,best,29
best_top3_HCP-YA_neoffi_a_r,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,r,best,26
nec_HCP-YA_neoffi_a_r,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,r,necessary,12
best_top1_HCP-YA_neoffi_c_r,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,r,best,27
best_top2_HCP-YA_neoffi_c_r,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,r,best,32
best_top3_HCP-YA_neoffi_c_r,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,r,best,31
nec_HCP-YA_neoffi_c_r,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,r,necessary,11
best_top1_HCP-YA_totalcogcomp_cod,HCP-YA,totalcogcomp,Total cognition,Cognition,cod,best,32
best_top2_HCP-YA_totalcogcomp_cod,HCP-YA,totalcogcomp,Total cognition,Cognition,cod,best,31
best_top3_HCP-YA_totalcogcomp_cod,HCP-YA,totalcogcomp,Total cognition,Cognition,cod,best,29
nec_HCP-YA_totalcogcomp_cod,HCP-YA,totalcogcomp,Total cognition,Cognition,cod,necessary,7
best_top1_HCP-YA_crycogcomp_cod,HCP-YA,crycogcomp,Crystallized cognition,Cognition,cod,best,31
best_top2_HCP-YA_crycogcomp_cod,HCP-YA,crycogcomp,Crystallized cognition,Cognition,cod,best,7
best_top3_HCP-YA_crycogcomp_cod,HCP-YA,crycogcomp,Crystallized cognition,Cognition,cod,best,32
nec_HCP-YA_crycogcomp_cod,HCP-YA,crycogcomp,Crystallized cognition,Cognition,cod,necessary,6
best_top1_HCP-YA_fluidcogcomp_cod,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,cod,best,30
best_top2_HCP-YA_fluidcogcomp_cod,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,cod,best,32
best_top3_HCP-YA_fluidcogcomp_cod,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,cod,best,31
nec_HCP-YA_fluidcogcomp_cod,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,cod,necessary,8
best_top1_HCP-YA_cardsort_cod,HCP-YA,cardsort,Cognitive flexibility,Cognition,cod,best,1
best_top2_HCP-YA_cardsort_cod,HCP-YA,cardsort,Cognitive flexibility,Cognition,cod,best,29
best_top3_HCP-YA_cardsort_cod,HCP-YA,cardsort,Cognitive flexibility,Cognition,cod,best,31
nec_HCP-YA_cardsort_cod,HCP-YA,cardsort,Cognitive flexibility,Cognition,cod,necessary,1
best_top1_HCP-YA_flanker_cod,HCP-YA,flanker,Inhibitory control,Cognition,cod,best,1
best_top2_HCP-YA_flanker_cod,HCP-YA,flanker,Inhibitory control,Cognition,cod,best,32
best_top3_HCP-YA_flanker_cod,HCP-YA,flanker,Inhibitory control,Cognition,cod,best,31
nec_HCP-YA_flanker_cod,HCP-YA,flanker,Inhibitory control,Cognition,cod,necessary,1
best_top1_HCP-YA_reading_cod,HCP-YA,reading,Reading,Cognition,cod,best,6
best_top2_HCP-YA_reading_cod,HCP-YA,reading,Reading,Cognition,cod,best,11
best_top3_HCP-YA_reading_cod,HCP-YA,reading,Reading,Cognition,cod,best,7
nec_HCP-YA_reading_cod,HCP-YA,reading,Reading,Cognition,cod,necessary,6
best_top1_HCP-YA_picvocab_cod,HCP-YA,picvocab,Picture vocabulary,Cognition,cod,best,11
best_top2_HCP-YA_picvocab_cod,HCP-YA,picvocab,Picture vocabulary,Cognition,cod,best,24
best_top3_HCP-YA_picvocab_cod,HCP-YA,picvocab,Picture vocabulary,Cognition,cod,best,8
nec_HCP-YA_picvocab_cod,HCP-YA,picvocab,Picture vocabulary,Cognition,cod,necessary,6
best_top1_HCP-YA_procspeed_cod,HCP-YA,procspeed,Processing speed,Cognition,cod,best,1
best_top2_HCP-YA_procspeed_cod,HCP-YA,procspeed,Processing speed,Cognition,cod,best,32
best_top3_HCP-YA_procspeed_cod,HCP-YA,procspeed,Processing speed,Cognition,cod,best,29
nec_HCP-YA_procspeed_cod,HCP-YA,procspeed,Processing speed,Cognition,cod,necessary,1
best_top1_HCP-YA_listsort_cod,HCP-YA,listsort,Working memory,Cognition,cod,best,32
best_top2_HCP-YA_listsort_cod,HCP-YA,listsort,Working memory,Cognition,cod,best,28
best_top3_HCP-YA_listsort_cod,HCP-YA,listsort,Working memory,Cognition,cod,best,27
nec_HCP-YA_listsort_cod,HCP-YA,listsort,Working memory,Cognition,cod,necessary,9
best_top1_HCP-YA_anger_cod,HCP-YA,anger,Anger affect,Mental health,cod,best,1
best_top2_HCP-YA_anger_cod,HCP-YA,anger,Anger affect,Mental health,cod,best,30
best_top3_HCP-YA_anger_cod,HCP-YA,anger,Anger affect,Mental health,cod,best,31
nec_HCP-YA_anger_cod,HCP-YA,anger,Anger affect,Mental health,cod,necessary,1
best_top1_HCP-YA_fear_cod,HCP-YA,fear,Fear affect,Mental health,cod,best,1
best_top2_HCP-YA_fear_cod,HCP-YA,fear,Fear affect,Mental health,cod,best,3
best_top3_HCP-YA_fear_cod,HCP-YA,fear,Fear affect,Mental health,cod,best,5
nec_HCP-YA_fear_cod,HCP-YA,fear,Fear affect,Mental health,cod,necessary,1
best_top1_HCP-YA_sadness_cod,HCP-YA,sadness,Sadness,Mental health,cod,best,1
best_top2_HCP-YA_sadness_cod,HCP-YA,sadness,Sadness,Mental health,cod,best,32
best_top3_HCP-YA_sadness_cod,HCP-YA,sadness,Sadness,Mental health,cod,best,31
nec_HCP-YA_sadness_cod,HCP-YA,sadness,Sadness,Mental health,cod,necessary,1
best_top1_HCP-YA_posaffect_cod,HCP-YA,posaffect,Positive affect,Mental health,cod,best,1
best_top2_HCP-YA_posaffect_cod,HCP-YA,posaffect,Positive affect,Mental health,cod,best,31
best_top3_HCP-YA_posaffect_cod,HCP-YA,posaffect,Positive affect,Mental health,cod,best,32
nec_HCP-YA_posaffect_cod,HCP-YA,posaffect,Positive affect,Mental health,cod,necessary,1
best_top1_HCP-YA_emotsupp_cod,HCP-YA,emotsupp,Emotional Support,Mental health,cod,best,1
best_top2_HCP-YA_emotsupp_cod,HCP-YA,emotsupp,Emotional Support,Mental health,cod,best,23
best_top3_HCP-YA_emotsupp_cod,HCP-YA,emotsupp,Emotional Support,Mental health,cod,best,32
nec_HCP-YA_emotsupp_cod,HCP-YA,emotsupp,Emotional Support,Mental health,cod,necessary,1
best_top1_HCP-YA_friendship_cod,HCP-YA,friendship,Friendship,Mental health,cod,best,1
best_top2_HCP-YA_friendship_cod,HCP-YA,friendship,Friendship,Mental health,cod,best,31
best_top3_HCP-YA_friendship_cod,HCP-YA,friendship,Friendship,Mental health,cod,best,29
nec_HCP-YA_friendship_cod,HCP-YA,friendship,Friendship,Mental health,cod,necessary,1
best_top1_HCP-YA_loneliness_cod,HCP-YA,loneliness,Loneliness,Mental health,cod,best,1
best_top2_HCP-YA_loneliness_cod,HCP-YA,loneliness,Loneliness,Mental health,cod,best,32
best_top3_HCP-YA_loneliness_cod,HCP-YA,loneliness,Loneliness,Mental health,cod,best,7
nec_HCP-YA_loneliness_cod,HCP-YA,loneliness,Loneliness,Mental health,cod,necessary,1
best_top1_HCP-YA_neoffi_n_cod,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,cod,best,1
best_top2_HCP-YA_neoffi_n_cod,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,cod,best,3
best_top3_HCP-YA_neoffi_n_cod,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,cod,best,5
nec_HCP-YA_neoffi_n_cod,HCP-YA,neoffi_n,Neuroticism (NEO),Personality,cod,necessary,1
best_top1_HCP-YA_neoffi_e_cod,HCP-YA,neoffi_e,Extraversion (NEO),Personality,cod,best,1
best_top2_HCP-YA_neoffi_e_cod,HCP-YA,neoffi_e,Extraversion (NEO),Personality,cod,best,3
best_top3_HCP-YA_neoffi_e_cod,HCP-YA,neoffi_e,Extraversion (NEO),Personality,cod,best,28
nec_HCP-YA_neoffi_e_cod,HCP-YA,neoffi_e,Extraversion (NEO),Personality,cod,necessary,1
best_top1_HCP-YA_neoffi_o_cod,HCP-YA,neoffi_o,Openness (NEO),Personality,cod,best,1
best_top2_HCP-YA_neoffi_o_cod,HCP-YA,neoffi_o,Openness (NEO),Personality,cod,best,24
best_top3_HCP-YA_neoffi_o_cod,HCP-YA,neoffi_o,Openness (NEO),Personality,cod,best,29
nec_HCP-YA_neoffi_o_cod,HCP-YA,neoffi_o,Openness (NEO),Personality,cod,necessary,1
best_top1_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,best,29
best_top2_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,best,32
best_top3_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,best,31
nec_HCP-YA_neoffi_a_cod,HCP-YA,neoffi_a,Agreeableness (NEO),Personality,cod,necessary,16
best_top1_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,best,1
best_top2_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,best,27
best_top3_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,best,32
nec_HCP-YA_neoffi_c_cod,HCP-YA,neoffi_c,Conscientiousness (NEO),Personality,cod,necessary,1
